Mat	Red
424.8766174	511.1290283
423.8194885	517.6623535
428.9437561	493.3333435
424.8335876	508.8059692
501.2194824	608.3117065
404.160614	474.5454407
528.9764404	617.6470337
609.7138062	670.3448486
423.7922974	540
545.6422119	624.4827881
423.9645691	491.1392517
410.5731812	480.487793
424.928894	533.333313
422.3778992	491.3953552
417.9602661	507.9451904
442.7967834	509.0322571
380.5700073	498
427.1187439	506.875
408.1583252	503.6666565
424.2633362	514.666687
414.4052124	504.776123
562.9229126	646.666687
419.1099854	552
494.8083191	607.222229
507.4159546	628.1159668
412.0088501	480.2531738
424.4230652	506.9230652
414.9090881	510.9090881
393.2399902	455
468.574585	565.4237061
527.418335	614
427.5419922	518.4000244
419.8891907	525.5681763
506.8285828	642.8571167
438.9916077	523.7692261
405.4467468	468.1226196
541.1236572	605.2631836
567.9869385	760.8695679
523.3775635	713.4782715
437.9068298	527.2727051
470.8999939	595.4716797
439.2565918	544.5283203
449.882843	517.7142944
421.9023438	531.7647095
409.0285645	474.2857056
432.7333374	554.5238037
431.1355896	500.3389893
431.9924927	474.5
397.4403076	493.7313538
433.2214355	547.6190186
460.6485596	565.5714111
488.9041748	577.916687
390.8039856	442.6000061
419.4494934	501.6494751
413.4378052	504.5771179
421.997406	512.0689697
444.7869568	497.3912964
417.5816345	493.4693909
452.1053467	574.9333496
423.0722351	511.1111145
442.3155518	501.1111145
434.4378662	498.6407776
441.2651367	538.1818237
436.5584412	519.5324707
453.8978577	576.3441162
440.919281	534.3944702
454.7304382	541.543457
426.7216492	526.3917236
470.1862183	566.8965454
428.4253845	515.3233643
464.052124	559.3616943
436.8205261	502.5641174
449.0333252	524.7058716
442.5039978	548.2666626
494.5561523	639.6491089
558.2017822	668.4210815
463.72052	585.1282349
454.5505981	550.6079102
617.7433472	772.375
479.0499878	567.222229
562.9749756	601.666687
614.1293945	778.5
431.2204895	537.0186157
550.1060181	661.1376953
531.1142578	615.7142944
467.9500122	667
502.7162781	629.7674561
505.5145874	656.2044067
431.8857117	531.34198
428.2619629	514.5652466
617.1206055	772.5490112
438.3065796	553.9078979
480.0785828	552.8571167
436.6040649	504.3513489
436.9333191	472.6666565
433.660614	522.4242554
447.7825317	533.9805908
462.3085632	554.7142944
414.5983582	460
413.3722229	484.444458
434.4299927	510.9090881
422.430542	491.6666565
447.2359924	544
435.5950928	570.5081787
454.4851074	547.5744629
425.7166748	517.083313
440.1425476	506.3829651
433.7099915	508
425.7555542	542.222229
449.7640076	558.4000244
428.8988953	504.3955994
447.3768005	539.9484253
429.9011536	523.7209473
445.1727295	550.4761963
419.4181824	540
446.3896484	503.4482727
441.4958191	528.75
427.2999878	495.3333435
426.8714294	523
436.844635	542.7767944
489.4049377	589.3826904
505.5419922	642.4000244
527.3811035	670.810791
421.7234192	572.7659302
558.0598145	790.6542358
409.8785706	530
559.5379639	668.8607788
492.0481567	622.9629517
413.9730225	511.1111145
428.9447327	482.8947449
430.8351135	536.4893799
433.4578857	511.2982483
429.9755249	525.9574585
457.3695984	535.5801392
448.9569702	522.2785034
511.5711975	604.2424316
412.0210571	474.7368469
462.2466736	532
405.2142944	520
407.6499939	476
422.8580627	510.9677429
437.5420532	512.9230957
428.6561279	505.6140442
484.2984924	670.7462769
491.6806335	583.2258301
431.1428528	550.649353
450.1642761	485.7142944
442.8861084	547.777771
446.551239	609.8347168
413.7729797	477.2973022
513.8477173	735
439.0560303	524.1884766
497.139679	613.6508179
423.4068909	474.7783203
488.0833435	520
416.2106018	475.5760498
397.2670288	476.4835205
399.1199951	482
434.4838562	540.7741699
432.4456177	502.8070068
425.8557739	512.3076782
430.2108154	492.4742126
430.3848267	506.3707886
437.2333374	555.555542
473.6484985	653.7879028
440.588501	561.6091919
474.4769287	645.3846436
470.2454529	580.9091187
455.6221008	604.2105103
447.6277771	522
493.1714172	613.5714111
624.1300049	776
514.8778076	630.3703613
430.7453918	510.2127686
471.0801697	590.8620605
424.5261536	513.4579468
519.2367554	631.836731
439.1459351	522.2092896
417.8263245	441.578949
441.6954651	516.3636475
472.719574	561.7391357
500.4493408	612
474.7720032	584.7999878
433.8928223	471.0314026
560.1140747	648.3221436
437.2901611	522.2568359
464.7999878	550.1075439
396.848877	447.555542
456.3434448	537.1945801
418.5343018	509.7584534
512.7575684	621.2120972
436.0438232	494.1573181
420.3172607	504.2857056
469.3399963	629
480.5235291	582.3529663
424.7756348	491.2953491
424.3864136	465.2427063
410.9812622	498.75
520.6647339	588.2352905
464.9918823	544.3243408
405.985199	452.4867859
460.7225952	595.4838867
511.1954651	679.0908813
453.5125122	616.666687
449.3045349	552.7272949
433.0924988	530.2999878
480.511322	595.4716797
488.6413269	649.5999756
449.8099976	496
515.53479	700.8695679
474.4968872	660
459.7657166	548.8571167
481.1885681	628.5714111
466.3272705	601.8181763
426.2730408	507.6067505
489.3624878	590.625
426.1363525	503.6363525
448.3772583	544.5454712
456.9249878	572.5
508.7466736	586
475.5833435	560
520.111084	631.111084
446.8399963	492
474.3333435	522.666687
459.9083252	613.333313
514.9734497	584.375
575.3092651	699.7351074
610.8599854	675.666687
596.6443481	750.8270874
458.9750061	586.666687
485.1818237	646.9697266
498.08078	630.9615479
490.7473755	576.8421021
487.9615479	536.1538696
468.2333374	545.333313
532.6384888	670.7692261
504.6769104	645.2307739
513.1153564	683.0769043
591.786499	735.6756592
479.1952515	582.8571167
504.1600037	624
437.3999939	528.4058228
463.8642883	664.2857056
439.4985962	515.1627808
416.756958	498.6111145
474.2409058	625.4545288
508.0073547	627.9411621
488.1594849	620.8620605
663.9567871	817.2277222
493.9785767	580.7142944
486.0421143	573.1578979
467.1000061	552
433.8777771	523.333313
545.1212769	699.4255371
438.6453552	528.5
485.480011	618.666687
433.0432739	529.5522461
424.3406372	505.625
533.7125244	658.75
477.2636414	603.6363525
429.5947266	479.4736938
466.6310425	567.5861816
481.5299988	530
421.1181946	485.4545593
422.3929443	494.5882263
419.030426	479.1304321
473.1739197	573.9130249
471.9093018	591.3023071
487.2200012	595.2000122
430.8061829	504.9382629
508.7342224	622.6315918
525.5250244	667
455.6533203	584.888916
447.4235229	543.5294189
472.5617676	607.9411621
471.2365417	579.2307739
500.1136475	613.6363525
463.1535034	556.8153076
512.7477417	658.1818237
511.2221375	659.1607056
531.5422974	648.6178589
414.25	426.6666565
511.5692444	716.5384521
448.1749878	543.75
493.0833435	568.888916
501.9138794	663.333313
422.7141724	493.0708618
435.4108582	535.4883423
443.3461609	549.2307739
543.1414185	702.3218994
464.188385	580
466.8479919	599.2000122
466.3500061	554.4000244
498.1338806	625.8064575
536.9571533	655.7142944
477.5508728	598.9473877
631.3192139	852.3076782
591.4523926	737.2727051
627.9639893	811.2000122
454.9624939	535
518.1879883	540.7999878
413.1651306	487.441864
449.129425	589.4117432
421.2506409	528.8311768
501.0832825	645.7976685
552.5072632	682.1761475
502.2186584	625.0666504
459.3584595	580.6153564
429.7917786	467.7647095
418.9029541	497.8235168
402.7000122	569.333313
417.6808472	527.8723145
426.059082	519.0908813
420.7697449	496.1344604
473.706665	526.666687
425.286377	506.4934998
427.1214294	538.6825562
502.2795715	651.2409058
586.9034424	761.3793335
442.2435913	565.7819824
483.7157898	580
499.6671143	622.7397461
428.8250122	560
404.7162781	507.9069824
544.9559326	692.1428833
431.3068542	498.6274414
555.0750122	784.6153564
511.2930908	642.0689697
529.2156372	590.625
529.1237793	622.1428833
424.3185425	484.3548279
417.404541	498.5858459
411.7303467	516.6071167
437.1333313	518.333313
443.4704285	512.2012329
460.4741821	623.2258301
442.1555481	577.777771
466.6127625	606.8085327
489.4454651	611.8181763
497.1216125	554.0540771
511.7527161	684
541.1439819	597.5999756
432.5670776	478.5365906
502.9534607	585.1724243
430.6771545	561.7142944
417.8411865	508.2352905
474.1650085	583
457.0299988	488
471.1563721	685.4545288
446.8214722	516.444458
